"ein","parent_ein","categories","name","next_request_number","default_email","appeals_email","is_active"
"0002","002","Government Administration","Mayor's Office","1","openrecords_agency_default_dev_002@mailinator.com","openrecords_agency_appeals_dev_002@mailinator.com",True
"0003","003","Government Administration","Board of Elections","1","openrecords_agency_default_dev_003@mailinator.com","openrecords_agency_appeals_dev_003@mailinator.com",False
"0004","004","","Campaign Finance Board","1","openrecords_agency_default_dev_004@mailinator.com","openrecords_agency_appeals_dev_004@mailinator.com",False
"0008","008","Government Administration","Office of the Actuary","1","openrecords_agency_default_dev_008@mailinator.com","openrecords_agency_appeals_dev_008@mailinator.com",False
"0009","009","","NYC Employee's Retirement System","1","openrecords_agency_default_dev_009@mailinator.com","openrecords_agency_appeals_dev_009@mailinator.com",False
"0010","010","","Manhattan Borough President","1","openrecords_agency_default_dev_010@mailinator.com","openrecords_agency_appeals_dev_010@mailinator.com",False
"0011","011","","Bronx Borough President","1","openrecords_agency_default_dev_011@mailinator.com","openrecords_agency_appeals_dev_011@mailinator.com",False
"0012","012","Public Safety,Health,Social Services","Brooklyn Borough President","1","openrecords_agency_default_dev_012@mailinator.com","openrecords_agency_appeals_dev_012@mailinator.com",False
"0013","013","","Queens Borough President","1","openrecords_agency_default_dev_013@mailinator.com","openrecords_agency_appeals_dev_013@mailinator.com",False
"0014","014","","Staten Island Borough President","1","openrecords_agency_default_dev_014@mailinator.com","openrecords_agency_appeals_dev_014@mailinator.com",False
"0015","015","","Office of the Comptroller","1","openrecords_agency_default_dev_015@mailinator.com","openrecords_agency_appeals_dev_015@mailinator.com",False
"0017","017","Public Safety","Office of Emergency Management","1","openrecords_agency_default_dev_017@mailinator.com","openrecords_agency_appeals_dev_017@mailinator.com",True
"0019","019","Government Administration","Office of Management and Budget","1","openrecords_agency_default_dev_019@mailinator.com","openrecords_agency_appeals_dev_019@mailinator.com",False
"0021","021","","Tax Commission","1","openrecords_agency_default_dev_021@mailinator.com","openrecords_agency_appeals_dev_021@mailinator.com",False
"0025","025","","Law Department","1","openrecords_agency_default_dev_025@mailinator.com","openrecords_agency_appeals_dev_025@mailinator.com",False
"0030","030","Housing & Development","Department of City Planning","1","openrecords_agency_default_dev_030@mailinator.com","openrecords_agency_appeals_dev_030@mailinator.com",False
"0032","032","Public Safety","Department of Investigation","1","openrecords_agency_default_dev_032@mailinator.com","openrecords_agency_appeals_dev_032@mailinator.com",False
"0040","040","Education","Department of Education","1","openrecords_agency_default_dev_040@mailinator.com","openrecords_agency_appeals_dev_040@mailinator.com",True
"0041","041","","Teachers' Retirement System","1","openrecords_agency_default_dev_041@mailinator.com","openrecords_agency_appeals_dev_041@mailinator.com",False
"0054","054","Public Safety","Civilian Complaint Review Board","1","openrecords_agency_default_dev_054@mailinator.com","openrecords_agency_appeals_dev_054@mailinator.com",False
